collection_id,product_url,product_handle,product_title,price,source_file
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/3-t-shirt-combo,3-t-shirt-combo,3 T-shirt Combo,1999.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/acid-wash-muscle-tee,acid-wash-muscle-tee,ACID WASH MUSCLE TEE,1299.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/anti-perfect-tee-cofee-beige,anti-perfect-tee-cofee-beige,ANTI-PERFECT OVERSIZED TEE - COFEE BEIGE,1499.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/double-pocket-black-shirt,double-pocket-black-shirt,Black - Double Pocket Shirt,2000.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/black-flannel-double-pocket-shirt,black-flannel-double-pocket-shirt,BLACK DOUBLE POCKET FLANNEL SHIRT,2499.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/blue-checks-flanel,blue-checks-flanel,Blue Checks Flannel,2999.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/blue-drip-sweatshirt-copy,blue-drip-sweatshirt-copy,Blue Drip Sweatshirt,2299.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/deep-sage-gauze-cotton-shirt-copy,deep-sage-gauze-cotton-shirt-copy,Blue Oxford Shirt,2499.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/rustic-brown-acid-wash-t-shirt,rustic-brown-acid-wash-t-shirt,Brown Acid Wash Ringer T-Shirt,1599.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/brown-checks-flanel,brown-checks-flanel,Brown Checks Flannel,2999.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/brown-double-pocket-shacket,brown-double-pocket-shacket,BROWN DOUBLE POCKET FLANNEL SHACKET,3499.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000/products/burgundy-satin-shirt,burgundy-satin-shirt,Burgundy - Satin Shirt,2499.00,01_RAW_DATA\collections_html\TONES-COL-0001.html
